Word=Confidence Pos=NN StartS=t I
Word=in Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=pound Pos=NN PPos=DT StartS=f I
Word=is Pos=VBZ PPos=NN StartS=f O
Word=widely Pos=RB PPos=VBZ StartS=f O
Word=expected Pos=VBN PPos=RB StartS=f O
Word=to Pos=TO PPos=VBN StartS=f O
Word=take Pos=VB PPos=TO StartS=f O
Word=another Pos=DT PPos=VB StartS=f I
Word=sharp Pos=JJ PPos=DT StartS=f I
Word=dive Pos=NN PPos=JJ StartS=f I
Word=if Pos=IN PPos=NN StartS=f O
Word=trade Pos=NN PPos=IN StartS=f I
Word=figures Pos=NNS PPos=NN StartS=f I
Word=for Pos=IN PPos=NNS StartS=f O
Word=September Pos=NNP PPos=IN StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=due Pos=JJ PPos=, StartS=f O
Word=for Pos=IN PPos=JJ StartS=f O
Word=release Pos=NN PPos=IN StartS=f I
Word=tomorrow Pos=NN PPos=NN StartS=f B
Word=, Pos=, PPos=NN StartS=f O
Word=fail Pos=VB PPos=, StartS=f O
Word=to Pos=TO PPos=VB StartS=f O
Word=show Pos=VB PPos=TO StartS=f O
Word=a Pos=DT PPos=VB StartS=f I
Word=substantial Pos=JJ PPos=DT StartS=f I
Word=improvement Pos=NN PPos=JJ StartS=f I
Word=from Pos=IN PPos=NN StartS=f O
Word=July Pos=NNP PPos=IN StartS=f I
Word=and Pos=CC PPos=NNP StartS=f I
Word=August Pos=NNP PPos=CC StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=near-record Pos=JJ PPos=POS StartS=f I
Word=deficits Pos=NNS PPos=JJ StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Chancellor Pos=NNP StartS=t O
Word=of Pos=IN PPos=NNP StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=Exchequer Pos=NNP PPos=DT StartS=f I
Word=Nigel Pos=NNP PPos=NNP StartS=f O
Word=Lawson Pos=NNP PPos=NNP StartS=f O
Word='s Pos=POS PPos=NNP StartS=f I
Word=restated Pos=VBN PPos=POS StartS=f I
Word=commitment Pos=NN PPos=VBN StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=a Pos=DT PPos=TO StartS=f I
Word=firm Pos=NN PPos=DT StartS=f I
Word=monetary Pos=JJ PPos=NN StartS=f I
Word=policy Pos=NN PPos=JJ StartS=f I
Word=has Pos=VBZ PPos=NN StartS=f O
Word=helped Pos=VBN PPos=VBZ StartS=f O
Word=to Pos=TO PPos=VBN StartS=f O
Word=prevent Pos=VB PPos=TO StartS=f O
Word=a Pos=DT PPos=VB StartS=f I
Word=freefall Pos=NN PPos=DT StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=sterling Pos=NN PPos=IN StartS=f I
Word=over Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=past Pos=JJ PPos=DT StartS=f I
Word=week Pos=NN PPos=JJ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=But Pos=CC StartS=t O
Word=analysts Pos=NNS PPos=CC StartS=f I
Word=reckon Pos=VBP PPos=NNS StartS=f O
Word=underlying Pos=VBG PPos=VBP StartS=f I
Word=support Pos=NN PPos=VBG StartS=f I
Word=for Pos=IN PPos=NN StartS=f O
Word=sterling Pos=NN PPos=IN StartS=f I
Word=has Pos=VBZ PPos=NN StartS=f O
Word=been Pos=VBN PPos=VBZ StartS=f O
Word=eroded Pos=VBN PPos=VBN StartS=f O
Word=by Pos=IN PPos=VBN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=chancellor Pos=NN PPos=DT StartS=f I
Word='s Pos=POS PPos=NN StartS=f B
Word=failure Pos=NN PPos=POS StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=announce Pos=VB PPos=TO StartS=f O
Word=any Pos=DT PPos=VB StartS=f I
Word=new Pos=JJ PPos=DT StartS=f I
Word=policy Pos=NN PPos=JJ StartS=f I
Word=measures Pos=NNS PPos=NN StartS=f I
Word=in Pos=IN PPos=NNS StartS=f O
Word=his Pos=PRP$ PPos=IN StartS=f I
Word=Mansion Pos=NNP PPos=PRP$ StartS=f I
Word=House Pos=NNP PPos=NNP StartS=f I
Word=speech Pos=NN PPos=NNP StartS=f I
Word=last Pos=JJ PPos=NN StartS=f B
Word=Thursday Pos=NNP PPos=JJ StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=This Pos=DT StartS=t I
Word=has Pos=VBZ PPos=DT StartS=f O
Word=increased Pos=VBN PPos=VBZ StartS=f O
Word=the Pos=DT PPos=VBN StartS=f I
Word=risk Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=government Pos=NN PPos=DT StartS=f I
Word=being Pos=VBG PPos=NN StartS=f O
Word=forced Pos=VBN PPos=VBG StartS=f O
Word=to Pos=TO PPos=VBN StartS=f O
Word=increase Pos=VB PPos=TO StartS=f O
Word=base Pos=NN PPos=VB StartS=f I
Word=rates Pos=NNS PPos=NN StartS=f I
Word=to Pos=TO PPos=NNS StartS=f O
Word=16 Pos=CD PPos=TO StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=from Pos=IN PPos=NN StartS=f O
Word=their Pos=PRP$ PPos=IN StartS=f I
Word=current Pos=JJ PPos=PRP$ StartS=f I
Word=15 Pos=CD PPos=JJ StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=level Pos=NN PPos=NN StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=defend Pos=VB PPos=TO StartS=f O
Word=the Pos=DT PPos=VB StartS=f I
Word=pound Pos=NN PPos=DT StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=economists Pos=NNS PPos=, StartS=f I
Word=and Pos=CC PPos=NNS StartS=f O
Word=foreign Pos=JJ PPos=CC StartS=f I
Word=exchange Pos=NN PPos=JJ StartS=f I
Word=market Pos=NN PPos=NN StartS=f I
Word=analysts Pos=NNS PPos=NN StartS=f I
Word=say Pos=VBP PPos=NNS StartS=f O
Word=. Pos=. PPos=VBP StartS=f O

Word=`` Pos=`` StartS=t O
Word=The Pos=DT PPos=`` StartS=f I
Word=risks Pos=NNS PPos=DT StartS=f I
Word=for Pos=IN PPos=NNS StartS=f O
Word=sterling Pos=NN PPos=IN StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=bad Pos=JJ PPos=DT StartS=f I
Word=trade Pos=NN PPos=JJ StartS=f I
Word=figure Pos=NN PPos=NN StartS=f I
Word=are Pos=VBP PPos=NN StartS=f O
Word=very Pos=RB PPos=VBP StartS=f O
Word=heavily Pos=RB PPos=RB StartS=f O
Word=on Pos=IN PPos=RB StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=down Pos=JJ PPos=DT StartS=f I
Word=side Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word='' Pos='' PPos=, StartS=f O
Word=said Pos=VBD PPos='' StartS=f O
Word=Chris Pos=NNP PPos=VBD StartS=f I
Word=Dillow Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=senior Pos=JJ PPos=, StartS=f I
Word=U.K. Pos=NNP PPos=JJ StartS=f I
Word=economist Pos=NN PPos=NNP StartS=f I
Word=at Pos=IN PPos=NN StartS=f O
Word=Nomura Pos=NNP PPos=IN StartS=f I
Word=Research Pos=NNP PPos=NNP StartS=f I
Word=Institute Pos=NNP PPos=NNP StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=`` Pos=`` StartS=t O
Word=If Pos=IN PPos=`` StartS=f O
Word=there Pos=EX PPos=IN StartS=f I
Word=is Pos=VBZ PPos=EX StartS=f O
Word=another Pos=DT PPos=VBZ StartS=f I
Word=bad Pos=JJ PPos=DT StartS=f I
Word=trade Pos=NN PPos=JJ StartS=f I
Word=number Pos=NN PPos=NN StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=there Pos=EX PPos=, StartS=f I
Word=could Pos=MD PPos=EX StartS=f O
Word=be Pos=VB PPos=MD StartS=f O
Word=an Pos=DT PPos=VB StartS=f I
Word=awful Pos=JJ PPos=DT StartS=f I
Word=lot Pos=NN PPos=JJ StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=pressure Pos=NN PPos=IN StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word='' Pos='' PPos=, StartS=f O
Word=noted Pos=VBD PPos='' StartS=f O
Word=Simon Pos=NNP PPos=VBD StartS=f I
Word=Briscoe Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=U.K. Pos=NNP PPos=, StartS=f I
Word=economist Pos=NN PPos=NNP StartS=f I
Word=for Pos=IN PPos=NN StartS=f O
Word=Midland Pos=NNP PPos=IN StartS=f I
Word=Montagu Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=a Pos=DT PPos=, StartS=f I
Word=unit Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=Midland Pos=NNP PPos=IN StartS=f I
Word=Bank Pos=NNP PPos=NNP StartS=f I
Word=PLC Pos=NNP PPos=NNP StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=Forecasts Pos=NNS StartS=t I
Word=for Pos=IN PPos=NNS StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=trade Pos=NN PPos=DT StartS=f I
Word=figures Pos=NNS PPos=NN StartS=f I
Word=range Pos=VBP PPos=NNS StartS=f O
Word=widely Pos=RB PPos=VBP StartS=f O
Word=, Pos=, PPos=RB StartS=f O
Word=but Pos=CC PPos=, StartS=f O
Word=few Pos=JJ PPos=CC StartS=f I
Word=economists Pos=NNS PPos=JJ StartS=f I
Word=expect Pos=VBP PPos=NNS StartS=f O
Word=the Pos=DT PPos=VBP StartS=f I
Word=data Pos=NNS PPos=DT StartS=f I
Word=to Pos=TO PPos=NNS StartS=f O
Word=show Pos=VB PPos=TO StartS=f O
Word=a Pos=DT PPos=VB StartS=f I
Word=very Pos=RB PPos=DT StartS=f I
Word=marked Pos=VBN PPos=RB StartS=f I
Word=improvement Pos=NN PPos=VBN StartS=f I
Word=from Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=# Pos=# PPos=DT StartS=f I
Word=2 Pos=CD PPos=# StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=-LRB- Pos=( PPos=CD StartS=f I
Word=$ Pos=$ PPos=( StartS=f I
Word=3.2 Pos=CD PPos=$ StartS=f I
Word=billion Pos=CD PPos=CD StartS=f I
Word=-RRB- Pos=) PPos=CD StartS=f I
