Word=Confidence I
Word=in O
Word=the I
Word=pound I
Word=is O
Word=widely O
Word=expected O
Word=to O
Word=take O
Word=another I
Word=sharp I
Word=dive I
Word=if O
Word=trade I
Word=figures I
Word=for O
Word=September I
Word=, O
Word=due O
Word=for O
Word=release I
Word=tomorrow B
Word=, O
Word=fail O
Word=to O
Word=show O
Word=a I
Word=substantial I
Word=improvement I
Word=from O
Word=July I
Word=and I
Word=August I
Word='s B
Word=near-record I
Word=deficits I
Word=. O

Word=Chancellor O
Word=of O
Word=the I
Word=Exchequer I
Word=Nigel O
Word=Lawson O
Word='s I
Word=restated I
Word=commitment I
Word=to O
Word=a I
Word=firm I
Word=monetary I
Word=policy I
Word=has O
Word=helped O
Word=to O
Word=prevent O
Word=a I
Word=freefall I
Word=in O
Word=sterling I
Word=over O
Word=the I
Word=past I
Word=week I
Word=. O

Word=But O
Word=analysts I
Word=reckon O
Word=underlying I
Word=support I
Word=for O
Word=sterling I
Word=has O
Word=been O
Word=eroded O
Word=by O
Word=the I
Word=chancellor I
Word='s B
Word=failure I
Word=to O
Word=announce O
Word=any I
Word=new I
Word=policy I
Word=measures I
Word=in O
Word=his I
Word=Mansion I
Word=House I
Word=speech I
Word=last B
Word=Thursday I
Word=. O

Word=This I
Word=has O
Word=increased O
Word=the I
Word=risk I
Word=of O
Word=the I
Word=government I
Word=being O
Word=forced O
Word=to O
Word=increase O
Word=base I
Word=rates I
Word=to O
Word=16 I
Word=% I
Word=from O
Word=their I
Word=current I
Word=15 I
Word=% I
Word=level I
Word=to O
Word=defend O
Word=the I
Word=pound I
Word=, O
Word=economists I
Word=and O
Word=foreign I
Word=exchange I
Word=market I
Word=analysts I
Word=say O
Word=. O

Word=`` O
Word=The I
Word=risks I
Word=for O
Word=sterling I
Word=of O
Word=a I
Word=bad I
Word=trade I
Word=figure I
Word=are O
Word=very O
Word=heavily O
Word=on O
Word=the I
Word=down I
Word=side I
Word=, O
Word='' O
Word=said O
Word=Chris I
Word=Dillow I
Word=, O
Word=senior I
