Word=Confidence Pos=NN I
Word=in Pos=IN O
Word=the Pos=DT I
Word=pound Pos=NN I
Word=is Pos=VBZ O
Word=widely Pos=RB O
Word=expected Pos=VBN O
Word=to Pos=TO O
Word=take Pos=VB O
Word=another Pos=DT I
Word=sharp Pos=JJ I
Word=dive Pos=NN I
Word=if Pos=IN O
Word=trade Pos=NN I
Word=figures Pos=NNS I
Word=for Pos=IN O
Word=September Pos=NNP I
Word=, Pos=, O
Word=due Pos=JJ O
Word=for Pos=IN O
Word=release Pos=NN I
Word=tomorrow Pos=NN B
Word=, Pos=, O
Word=fail Pos=VB O
Word=to Pos=TO O
Word=show Pos=VB O
Word=a Pos=DT I
Word=substantial Pos=JJ I
Word=improvement Pos=NN I
Word=from Pos=IN O
Word=July Pos=NNP I
Word=and Pos=CC I
Word=August Pos=NNP I
Word='s Pos=POS B
Word=near-record Pos=JJ I
Word=deficits Pos=NNS I
Word=. Pos=. O

Word=Chancellor Pos=NNP O
Word=of Pos=IN O
Word=the Pos=DT I
Word=Exchequer Pos=NNP I
Word=Nigel Pos=NNP O
Word=Lawson Pos=NNP O
Word='s Pos=POS I
Word=restated Pos=VBN I
Word=commitment Pos=NN I
Word=to Pos=TO O
Word=a Pos=DT I
Word=firm Pos=NN I
Word=monetary Pos=JJ I
Word=policy Pos=NN I
Word=has Pos=VBZ O
Word=helped Pos=VBN O
Word=to Pos=TO O
Word=prevent Pos=VB O
Word=a Pos=DT I
Word=freefall Pos=NN I
Word=in Pos=IN O
Word=sterling Pos=NN I
Word=over Pos=IN O
Word=the Pos=DT I
Word=past Pos=JJ I
Word=week Pos=NN I
Word=. Pos=. O

Word=But Pos=CC O
Word=analysts Pos=NNS I
Word=reckon Pos=VBP O
Word=underlying Pos=VBG I
Word=support Pos=NN I
Word=for Pos=IN O
Word=sterling Pos=NN I
Word=has Pos=VBZ O
Word=been Pos=VBN O
Word=eroded Pos=VBN O
Word=by Pos=IN O
Word=the Pos=DT I
Word=chancellor Pos=NN I
Word='s Pos=POS B
Word=failure Pos=NN I
Word=to Pos=TO O
Word=announce Pos=VB O
Word=any Pos=DT I
Word=new Pos=JJ I
Word=policy Pos=NN I
Word=measures Pos=NNS I
Word=in Pos=IN O
Word=his Pos=PRP$ I
